Category,Value,Answer,Option A,Option B,Option C,Option D,Correct Question
Lean Startup,100,This is a methodology that emphasizes iterative development, customer feedback, and validated learning.,What is the Lean Startup?,What is Agile Development?,What is Waterfall Development?,What is Design Thinking?,0
"Lean Startup,200,This is the ""feedback loop"" at the heart of the Lean Startup methodology.,What is Build-Measure-Learn?,What is Plan-Do-Check-Act?,What is Design-Build-Test?,What is Research-Develop-Market?,0"
Lean Startup,300,This is a simple, testable version of a product designed to validate key assumptions.,What is a Minimum Viable Product (MVP)?,What is a prototype?,What is a beta version?,What is a finished product?,0
Lean Startup,400,In the Lean Startup, this is a significant change in direction based on validated learning.,What is a pivot?,What is an iteration?,What is an optimization?,What is a diversification?,0
Lean Startup,500,This is the main goal of a Minimum Viable Product (MVP).,What is to test key assumptions and gather customer feedback?,What is to generate revenue?,What is to attract investors?,What is to impress competitors?,0
Customer Personas,100,This is a semi-fictional representation of your ideal customer, based on research and data.,What is a customer persona?,What is a user profile?,What is a target audience?,What is a market segment?,0
Customer Personas,200,Customer personas help you understand these aspects of your target audience (name three).,What are needs, motivations, and pain points?,What are names, addresses, and phone numbers?,What are credit scores, income levels, and purchase history?,What are political affiliations, religious beliefs, and hobbies?,0
Customer Personas,300,Personas should be based on this, not just guesswork.,What is research and data?,What is intuition and experience?,What is assumptions and stereotypes?,What is opinions and beliefs?,0
Customer Personas,400,This is the problem with creating too many customer personas in the early stages.,What is it can dilute your focus and make it harder to validate your assumptions?,What is it's a waste of time?,What is it's too expensive?,What is it's not necessary?,0
Customer Personas,500,This is the benefit of using customer personas to guide product development.,What is it helps ensure you're building something customers actually want?,What is it makes your product look more professional?,What is it increases your chances of getting funded?,What is it helps you win awards?,0
Value Proposition,100,This is a clear statement of the unique benefits your product or service offers to customers.,What is a value proposition?,What is a mission statement?,What is a slogan?,What is a tagline?,0
Value Proposition,200,A strong value proposition should address these two key elements.,What are customer pain points and desired gains?,What are product features and technical specifications?,What are pricing and distribution channels?,What are company history and team expertise?,0
Value Proposition,300,This is a tool that helps you map out how your product's features align with customer needs.,What is the Value Proposition Canvas?,What is the Business Model Canvas?,What is a SWOT analysis?,What is a market analysis?,0
Value Proposition,400,When crafting a value proposition, it's essential to use this.,What is the language your customers use?,What is technical jargon?,What is marketing buzzwords?,What is industry-specific terminology?,0
Value Proposition,500,This is the main reason a value proposition might need to be refined or changed.,What is after receiving customer feedback and validating assumptions?,What is after launching the product?,What is after securing funding?,What is after hiring a marketing team?,0
Experimentation,100,This is a testable statement about the relationship between a cause and an effect.,What is a hypothesis?,What is an assumption?,What is an observation?,What is a conclusion?,0
Experimentation,200,This is the term for the smallest experiment you can conduct to test a specific assumption.,What is a Minimum Viable Test?,What is a comprehensive experiment?,What is a market survey?,What is a beta test?,0
Experimentation,300,When designing an experiment, it's crucial to define this beforehand.,What are your success metrics?,What are your marketing materials?,What are your product specifications?,What is your team structure?,0
Experimentation,400,This is the type of data you should focus on collecting during early-stage experiments.,What is actionable data that helps you make decisions?,What is vanity metrics that look good but don't provide real insights?,What is big data that requires complex analysis?,What is secondary data from external sources?,0
Experimentation,500,This is what you should do if your experiment results don't support your hypothesis.,What is use the data to refine your assumptions and iterate?,What is ignore the results and proceed as planned?,What is change the data to fit your hypothesis?,What is abandon the project altogether?,0
Business Model Canvas,100,This is a visual tool for mapping out the key elements of a business model.,What is the Business Model Canvas?,What is a value chain analysis?,What is a Porter's Five Forces analysis?,What is a financial statement?,0
Business Model Canvas,200,This is the Business Model Canvas element that describes how you will reach your customers.,What are channels?,What are customer relationships?,What are key activities?,What are key resources?,0
Business Model Canvas,300,This Business Model Canvas element outlines how you will make money.,What are revenue streams?,What are cost structures?,What are key partnerships?,What are key metrics?,0
Business Model Canvas,400,This is the Business Model Canvas element that describes the most important things you must do to make your business model work.,What are key activities?,What are customer segments?,What are value propositions?,What are key resources?,0
Business Model Canvas,500,The Business Model Canvas should be treated as this type of document, which evolves as you learn more.,What is a living document?,What is a static document?,What is a legal document?,What is a confidential document?,0
